"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"salsa international, timba","https://api.spotify.com/v1/artists/2ceMDOKOCfE4CNrQJeMiMf","2ceMDOKOCfE4CNrQJeMiMf","Mercadonegro",31,"artist","spotify:artist:2ceMDOKOCfE4CNrQJeMiMf","https://open.spotify.com/artist/2ceMDOKOCfE4CNrQJeMiMf",NA,2833,"mid",2,29,"cindy"
"alternative r&b, dance pop, pop, r&b","https://api.spotify.com/v1/artists/3Y7RZ31TRPVadSFVy1o8os","3Y7RZ31TRPVadSFVy1o8os","H.E.R.",81,"artist","spotify:artist:3Y7RZ31TRPVadSFVy1o8os","https://open.spotify.com/artist/3Y7RZ31TRPVadSFVy1o8os",NA,4914314,"mid",2,30,"cindy"
"boogaloo, ecuadorian pop, salsa, salsa colombiana, salsa international, tropical","https://api.spotify.com/v1/artists/4152ZUds7gXsqYQexUonDP","4152ZUds7gXsqYQexUonDP","Grupo Galé",54,"artist","spotify:artist:4152ZUds7gXsqYQexUonDP","https://open.spotify.com/artist/4152ZUds7gXsqYQexUonDP",NA,135911,"mid",2,31,"cindy"
"meditation","https://api.spotify.com/v1/artists/4rXABp4A7KjG9elWFNAbO4","4rXABp4A7KjG9elWFNAbO4","Miracle Tones",83,"artist","spotify:artist:4rXABp4A7KjG9elWFNAbO4","https://open.spotify.com/artist/4rXABp4A7KjG9elWFNAbO4",NA,72604,"mid",2,32,"cindy"
"cumbia, salsa, salsa colombiana, tropical","https://api.spotify.com/v1/artists/5aAlzehdUM14I4ppq24Xob","5aAlzehdUM14I4ppq24Xob","Fruko Y Sus Tesos",57,"artist","spotify:artist:5aAlzehdUM14I4ppq24Xob","https://open.spotify.com/artist/5aAlzehdUM14I4ppq24Xob",NA,229800,"mid",2,33,"cindy"
"atl hip hop, atl trap, rap, trap","https://api.spotify.com/v1/artists/5f7VJjfbwm532GiveGC0ZK","5f7VJjfbwm532GiveGC0ZK","Lil Baby",92,"artist","spotify:artist:5f7VJjfbwm532GiveGC0ZK","https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK",NA,9861492,"mid",2,34,"cindy"
"dance pop, pop, pop rap, r&b, rap","https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z","7bXgB6jMjp9ATFy66eO08Z","Chris Brown",90,"artist","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z",NA,15560398,"mid",2,35,"cindy"
"dance pop, pop","https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",94,"artist","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5",NA,16537929,"long",3,1,"cindy"
"pop, r&b","https://api.spotify.com/v1/artists/57LYzLEk2LcFghVwuWbcuS","57LYzLEk2LcFghVwuWbcuS","Summer Walker",82,"artist","spotify:artist:57LYzLEk2LcFghVwuWbcuS","https://open.spotify.com/artist/57LYzLEk2LcFghVwuWbcuS",NA,3319457,"long",3,2,"cindy"
"conscious hip hop, hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/2P5sC9cVZDToPxyomzF1UH","2P5sC9cVZDToPxyomzF1UH","Joey Bada$$",78,"artist","spotify:artist:2P5sC9cVZDToPxyomzF1UH","https://open.spotify.com/artist/2P5sC9cVZDToPxyomzF1UH",NA,2501761,"long",3,3,"cindy"
"alternative r&b, escape room, indie soul","https://api.spotify.com/v1/artists/4lPl9gqgox3JDiaJ1yklKh","4lPl9gqgox3JDiaJ1yklKh","Tierra Whack",64,"artist","spotify:artist:4lPl9gqgox3JDiaJ1yklKh","https://open.spotify.com/artist/4lPl9gqgox3JDiaJ1yklKh",NA,398176,"long",3,4,"cindy"
"dance pop, pop","https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C","0du5cEVh5yTK9QJze8zA0C","Bruno Mars",92,"artist","spotify:artist:0du5cEVh5yTK9QJze8zA0C","https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C",NA,38723111,"long",3,5,"cindy"
"pop","https://api.spotify.com/v1/artists/1McMsnEElThX1knmY4oliG","1McMsnEElThX1knmY4oliG","Olivia Rodrigo",90,"artist","spotify:artist:1McMsnEElThX1knmY4oliG","https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG",NA,14678386,"long",3,6,"cindy"
"alternative r&b, dance pop, pop, r&b, urban contemporary","https://api.spotify.com/v1/artists/5ZS223C6JyBfXasXxrRqOk","5ZS223C6JyBfXasXxrRqOk","Jhené Aiko",82,"artist","spotify:artist:5ZS223C6JyBfXasXxrRqOk","https://open.spotify.com/artist/5ZS223C6JyBfXasXxrRqOk",NA,5306475,"long",3,7,"cindy"
