"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"big room, dance pop, edm, pop, pop dance, pop rap","https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai","1Cs0zKBU1kc0i8ypK3B9ai","David Guetta",90,"artist","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai",NA,23930324,"mid",2,5,"claudia"
"chicago rap, rap","https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x","5K4W6rqBFWDnAN6FQUkS6x","Kanye West",96,"artist","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x",NA,16631180,"mid",2,6,"claudia"
"dance pop, pop","https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",94,"artist","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5",NA,16353815,"mid",2,7,"claudia"
"indie pop","https://api.spotify.com/v1/artists/6rniTPs9zN26kYnkPdFl1U","6rniTPs9zN26kYnkPdFl1U","Sir Chloe",67,"artist","spotify:artist:6rniTPs9zN26kYnkPdFl1U","https://open.spotify.com/artist/6rniTPs9zN26kYnkPdFl1U",NA,426702,"mid",2,8,"claudia"
"dance pop, pop","https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR","66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande",93,"artist","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR",NA,76836410,"mid",2,9,"claudia"
"glee club, hollywood, post-teen pop","https://api.spotify.com/v1/artists/0SCbttzoZTnLFebDYmAWCm","0SCbttzoZTnLFebDYmAWCm","Glee Cast",76,"artist","spotify:artist:0SCbttzoZTnLFebDYmAWCm","https://open.spotify.com/artist/0SCbttzoZTnLFebDYmAWCm",NA,1449395,"mid",2,10,"claudia"
"pop","https://api.spotify.com/v1/artists/1McMsnEElThX1knmY4oliG","1McMsnEElThX1knmY4oliG","Olivia Rodrigo",90,"artist","spotify:artist:1McMsnEElThX1knmY4oliG","https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG",NA,14511420,"mid",2,11,"claudia"
"dance pop, pop, post-teen pop, viral pop","https://api.spotify.com/v1/artists/6dJeKm76NjfXBNTpHmOhfO","6dJeKm76NjfXBNTpHmOhfO","Selena Gomez & The Scene",72,"artist","spotify:artist:6dJeKm76NjfXBNTpHmOhfO","https://open.spotify.com/artist/6dJeKm76NjfXBNTpHmOhfO",NA,7374518,"mid",2,12,"claudia"
"dance pop, latin, miami hip hop, pop, pop rap","https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg","0TnOYISbd1XYRBk9myaseg","Pitbull",86,"artist","spotify:artist:0TnOYISbd1XYRBk9myaseg","https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg",NA,9135573,"mid",2,13,"claudia"
"glam rock, mellow gold, piano rock","https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b","3PhoLpVuITZKcymswpck5b","Elton John",88,"artist","spotify:artist:3PhoLpVuITZKcymswpck5b","https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b",NA,8869877,"mid",2,14,"claudia"
"french soundtrack, orchestral soundtrack, soundtrack","https://api.spotify.com/v1/artists/71jzN72g8qWMCMkWC5p1Z0","71jzN72g8qWMCMkWC5p1Z0","Alexandre Desplat",68,"artist","spotify:artist:71jzN72g8qWMCMkWC5p1Z0","https://open.spotify.com/artist/71jzN72g8qWMCMkWC5p1Z0",NA,276100,"mid",2,15,"claudia"
"alternative dance, alternative rock, dance-punk, garage rock, indie pop, indie rock, modern rock, new rave, rock","https://api.spotify.com/v1/artists/3TNt4aUIxgfy9aoaft5Jj2","3TNt4aUIxgfy9aoaft5Jj2","Yeah Yeah Yeahs",68,"artist","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2","https://open.spotify.com/artist/3TNt4aUIxgfy9aoaft5Jj2",NA,1074949,"mid",2,16,"claudia"
"alternative rock, grunge, permanent wave, rock","https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh","6olE6TJLqED3rqDCT0FyPh","Nirvana",84,"artist","spotify:artist:6olE6TJLqED3rqDCT0FyPh","https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh",NA,14739782,"mid",2,17,"claudia"
"dance pop, edm, electro house, house, pop, pop dance, pop rap, progressive house, uk dance","https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY","7CajNmpbOovFoOoasH2HaY","Calvin Harris",86,"artist","spotify:artist:7CajNmpbOovFoOoasH2HaY","https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY",NA,22554465,"mid",2,18,"claudia"
"hip hop, ohio hip hop, rap","https://api.spotify.com/v1/artists/0fA0VVWsXO9YnASrzqfmYu","0fA0VVWsXO9YnASrzqfmYu","Kid Cudi",86,"artist","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu",NA,5610961,"mid",2,19,"claudia"
"gauze pop, indietronica, shiver pop","https://api.spotify.com/v1/artists/4yvcSjfu4PC0CYQyLy4wSq","4yvcSjfu4PC0CYQyLy4wSq","Glass Animals",87,"artist","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","https://open.spotify.com/artist/4yvcSjfu4PC0CYQyLy4wSq",NA,2535792,"mid",2,20,"claudia"
"slowed and reverb","https://api.spotify.com/v1/artists/0oAK0DvKNnuXm1TQdhDEOv","0oAK0DvKNnuXm1TQdhDEOv","Khlaw",64,"artist","spotify:artist:0oAK0DvKNnuXm1TQdhDEOv","https://open.spotify.com/artist/0oAK0DvKNnuXm1TQdhDEOv",NA,14253,"mid",2,21,"claudia"
"baroque pop, chamber pop, indie folk, singer-songwriter","https://api.spotify.com/v1/artists/4MXUO7sVCaFgFjoTI5ox5c","4MXUO7sVCaFgFjoTI5ox5c","Sufjan Stevens",74,"artist","spotify:artist:4MXUO7sVCaFgFjoTI5ox5c","https://open.spotify.com/artist/4MXUO7sVCaFgFjoTI5ox5c",NA,1495866,"mid",2,22,"claudia"
"british soundtrack, scorecore, soundtrack","https://api.spotify.com/v1/artists/6S9bLkEZSVIcY18RNcNG50","6S9bLkEZSVIcY18RNcNG50","Nicholas Hooper",60,"artist","spotify:artist:6S9bLkEZSVIcY18RNcNG50","https://open.spotify.com/artist/6S9bLkEZSVIcY18RNcNG50",NA,39739,"mid",2,23,"claudia"
"environmental, sleep, water","https://api.spotify.com/v1/artists/7g56xCsozigPH5OgmwinYA","7g56xCsozigPH5OgmwinYA","Ocean Sounds",68,"artist","spotify:artist:7g56xCsozigPH5OgmwinYA","https://open.spotify.com/artist/7g56xCsozigPH5OgmwinYA",NA,29371,"mid",2,24,"claudia"
"lgbtq+ hip hop, pop","https://api.spotify.com/v1/artists/7jVv8c5Fj3E9VhNjxT4snq","7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X",90,"artist","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq",NA,9783119,"mid",2,25,"claudia"
"dance pop, pop, viral pop","https://api.spotify.com/v1/artists/6VuMaDnrHyPL1p4EHjYLi7","6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth",85,"artist","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7",NA,15445671,"mid",2,26,"claudia"
