"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"brooklyn drill, melodic rap, nyc rap","https://api.spotify.com/v1/artists/6jGMq4yGs7aQzuGsMgVgZR","6jGMq4yGs7aQzuGsMgVgZR","Lil Tjay",85,"artist","spotify:artist:6jGMq4yGs7aQzuGsMgVgZR","https://open.spotify.com/artist/6jGMq4yGs7aQzuGsMgVgZR",NA,4694112,"short",1,26,"lord"
"florida rap, hip hop, melodic rap, miami hip hop, rap, trap","https://api.spotify.com/v1/artists/46SHBwWsqBkxI7EeeBEQG7","46SHBwWsqBkxI7EeeBEQG7","Kodak Black",87,"artist","spotify:artist:46SHBwWsqBkxI7EeeBEQG7","https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7",NA,7866290,"short",1,27,"lord"
"british soul, pop, pop soul, uk pop","https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY","4dpARuHxo51G3z768sgnrY","Adele",92,"artist","spotify:artist:4dpARuHxo51G3z768sgnrY","https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY",NA,35074052,"short",1,28,"lord"
"australian psych, neo-psychedelic","https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb","5INjqkS1o8h1imAzPqGZBb","Tame Impala",83,"artist","spotify:artist:5INjqkS1o8h1imAzPqGZBb","https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb",NA,5487615,"short",1,29,"lord"
"chicago rap, rap","https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x","5K4W6rqBFWDnAN6FQUkS6x","Kanye West",96,"artist","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x",NA,16631180,"short",1,30,"lord"
"hip hop, pluggnb, rap, trap, underground hip hop, vapor trap","https://api.spotify.com/v1/artists/5yPzzu25VzEk8qrGTLIrE1","5yPzzu25VzEk8qrGTLIrE1","Young Nudy",74,"artist","spotify:artist:5yPzzu25VzEk8qrGTLIrE1","https://open.spotify.com/artist/5yPzzu25VzEk8qrGTLIrE1",NA,846381,"short",1,31,"lord"
"bronx drill, new york drill","https://api.spotify.com/v1/artists/7hf5PZjVOqTQ2id3PF7I5Y","7hf5PZjVOqTQ2id3PF7I5Y","B-Lovee",65,"artist","spotify:artist:7hf5PZjVOqTQ2id3PF7I5Y","https://open.spotify.com/artist/7hf5PZjVOqTQ2id3PF7I5Y",NA,56720,"short",1,32,"lord"
"art pop, canadian electropop, dance pop, electropop, grave wave, indietronica, metropopolis, pop","https://api.spotify.com/v1/artists/053q0ukIDRgzwTr4vNSwab","053q0ukIDRgzwTr4vNSwab","Grimes",73,"artist","spotify:artist:053q0ukIDRgzwTr4vNSwab","https://open.spotify.com/artist/053q0ukIDRgzwTr4vNSwab",NA,1613150,"short",1,33,"lord"
"melodic rap, philly rap, rap, trap","https://api.spotify.com/v1/artists/4O15NlyKLIASxsJ0PrXPfz","4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert",90,"artist","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","https://open.spotify.com/artist/4O15NlyKLIASxsJ0PrXPfz",NA,12968461,"short",1,34,"lord"
"nyc rap, rap, trap, vapor trap","https://api.spotify.com/v1/artists/6Av6GMCOznZIlHuNcBWgf4","6Av6GMCOznZIlHuNcBWgf4","Jay Critch",63,"artist","spotify:artist:6Av6GMCOznZIlHuNcBWgf4","https://open.spotify.com/artist/6Av6GMCOznZIlHuNcBWgf4",NA,631954,"short",1,35,"lord"
